DaysSinceRecentOrder,Nb Orders,Amount Orders,Avg Amount Orders,Max Amount Orders,Nb items,Avg Nb items,Avg item amount,Max item amount,PayMeth_Bancontact,PayMeth_Card,PayMeth_Ideal,PayMeth_Klarna,PayMeth_Other,PayMeth_Pay Later,PayMeth_shopify payments,Always Discount,Always Free Shipping,Never Discount,Never Free Shipping,Max Discount Percentage,Same SKU more than once,Email Marketing Consent,Accepts Marketing,click,open,Days since First Active,Days since Last Active,Days since Profile Created On,Days since Date Added,Recent City_amersfoort,Recent City_amsterdam,Recent City_breda,Recent City_den haag,Recent City_eindhoven,Recent City_groningen,Recent City_haarlem,Recent City_rotterdam,Recent City_utrecht,Recent City_zwolle,dbscan_cluster
387,1,28.75,28.75,28.75,1,1.0,31.39,31.39,0,0,1,0,0,0,0,1,1,0,0,0.09,0,0,0,0,1,693,387,693,1,False,False,False,False,False,False,False,False,False,False,0
387,1,33.95,33.95,33.95,1,1.0,33.95,33.95,0,0,1,0,0,0,0,0,1,1,0,0.0,0,2,0,0,1,621,21,621,1,False,False,False,False,False,False,False,False,False,False,7
387,2,59.900000000000006,29.95,33.95,2,1.0,29.95,33.95,0,0,1,0,0,1,0,0,1,1,0,0.0,0,2,0,0,1,824,28,824,1,False,False,False,False,False,False,False,False,False,False,-1
377,1,264.63,88.21,88.21,3,1.0,30.95,32.95,0,0,1,0,0,0,0,1,1,0,0,0.05,0,2,0,1,1,419,172,419,1,False,False,False,False,False,False,False,False,False,False,4
387,1,62.91,62.91,62.91,2,2.0,34.66,34.66,0,0,0,0,0,1,0,1,1,0,0,0.1,0,1,0,1,1,519,29,519,1,False,False,False,False,False,False,False,False,False,False,2
387,1,195.42,97.71,97.71,3,2.0,33.95,34.95,0,0,1,0,0,0,0,1,1,0,0,0.05,0,1,0,0,1,619,6,619,1,False,False,False,False,False,False,False,False,False,False,0
145,2,1836.88,204.1,230.0,16,2.0,29.28,30.95,0,0,0,0,0,0,1,1,1,0,0,0.25,1,0,0,1,1,369,98,369,1,False,False,False,False,False,False,False,False,False,False,-1
387,1,93.42,46.71,46.71,2,1.0,25.5,25.5,0,0,1,0,0,0,0,1,1,0,0,0.09,0,1,0,1,1,868,28,868,1,False,False,False,False,False,False,False,False,False,False,4
387,1,36.95,36.95,36.95,1,1.0,36.95,36.95,0,0,1,0,0,0,0,0,1,1,0,0.0,0,0,0,1,1,580,387,580,1,False,False,False,False,False,False,False,False,False,False,5
387,1,33.95,33.95,33.95,1,1.0,33.95,33.95,0,1,0,0,0,0,0,0,1,1,0,0.0,0,2,0,0,1,622,1,622,1,False,False,False,False,False,False,False,False,False,False,21
387,1,31.95,31.95,31.95,1,1.0,31.95,31.95,0,0,1,0,0,0,0,0,1,1,0,0.0,0,0,0,1,0,924,207,893,1,True,False,False,False,False,False,False,False,False,False,-1
137,2,213.83,71.28,95.24,5,2.0,26.62,27.95,0,0,0,0,0,0,1,1,1,0,0,0.11,1,0,0,1,1,249,25,145,1,False,False,False,False,False,False,False,False,False,False,22
387,2,118.98,39.66,47.61,3,1.0,26.4,27.22,0,0,0,0,0,1,0,1,1,0,0,0.15,0,0,0,1,1,690,387,690,1,False,False,False,False,False,False,False,False,False,False,2
387,1,22.46,22.46,22.46,1,1.0,24.52,24.52,0,0,1,0,0,0,0,1,1,0,0,0.09,0,0,0,1,1,956,387,893,1,False,False,False,False,False,False,False,False,False,False,4
22,3,295.11,73.78,95.22,8,2.0,28.7,33.95,0,0,0,0,0,0,1,1,1,0,0,0.16,0,1,1,1,1,216,-1,216,1,False,False,False,False,False,False,False,False,False,False,6
270,1,62.95,62.95,62.95,1,1.0,69.95,69.95,0,0,0,0,0,0,1,1,1,0,0,0.11,0,0,0,1,1,271,41,271,1,False,False,False,False,False,False,False,False,False,False,23
282,2,51.2,25.6,26.95,2,1.0,26.95,26.95,0,0,0,1,0,0,1,0,1,0,0,0.11,1,1,1,0,1,286,51,286,1,False,False,False,False,False,False,False,False,False,False,-1
387,1,31.46,31.46,31.46,1,1.0,34.34,34.34,0,0,1,0,0,0,0,1,1,0,0,0.09,0,0,0,0,1,744,387,744,1,False,False,False,False,False,False,False,False,False,False,0
387,1,201.72,100.86,100.86,4,2.0,19.95,32.95,0,0,0,0,0,1,0,1,1,0,0,0.05,0,2,0,0,1,548,2,548,1,False,False,False,False,False,False,False,False,False,False,24
196,1,122.17,122.17,122.17,1,1.0,135.75,135.75,0,0,0,0,0,0,1,1,1,0,0,0.11,0,1,1,1,1,196,41,196,1,False,False,False,False,False,False,False,False,False,False,25
280,1,129.8,64.9,64.9,2,1.0,32.45,32.95,0,0,0,0,0,0,1,0,1,1,0,0.0,0,2,0,1,1,280,205,280,1,False,False,False,False,False,False,False,False,False,False,17
